group,names,scores,logfoldchanges,pvals,pvals_adj
Naive CD4+ T cells,ANKAR,-2.4078114,,0.016183395103754678,0.03784361348689707
Naive CD4+ T cells,PTGDS,-2.4099581,,0.01611004788468362,0.037720086639552224
Naive CD4+ T cells,EIF5B,-2.4125946,,0.016101328313888753,0.037720086639552224
Naive CD4+ T cells,CRELD2,-2.4161384,,0.01593286574312166,0.037400520096880725
Naive CD4+ T cells,NT5C,-2.4262094,,0.015508422699119243,0.0364974147515764
Naive CD4+ T cells,NBR1,-2.4292016,,0.015369489523874524,0.036216822749847916
Naive CD4+ T cells,RAB11B,-2.434465,,0.015173768494227807,0.03580152309677883
Naive CD4+ T cells,RP11-545I5.3,-2.4352152,1.4183711,0.014961711611532844,0.03543766229638836
Naive CD4+ T cells,HMGCL,-2.4367306,,0.01504775983849972,0.03554984907861502
Naive CD4+ T cells,TFAM,-2.4387665,,0.014952659010436088,0.03543766229638836
Naive CD4+ T cells,VAPA,-2.4438345,,0.014804864390682775,0.035156770994928865
Naive CD4+ T cells,ARL16,-2.4491136,,0.014548208942877644,0.03461961867181733
Naive CD4+ T cells,HERPUD2,-2.4493482,,0.01455982874500261,0.03461961867181733
Naive CD4+ T cells,LGALSL,-2.4522717,1.3120158,0.014272757339194364,0.03402506872819616
Naive CD4+ T cells,TTC30A,-2.4522717,1.3353674,0.014272757339188591,0.03402506872819616
Naive CD4+ T cells,LINC00494,-2.4522717,1.2487816,0.014272757339187788,0.03402506872819616
Naive CD4+ T cells,ENKUR,-2.4522717,1.2826236,0.01427275733918659,0.03402506872819616
Naive CD4+ T cells,COLGALT2,-2.4522717,1.2350978,0.014272757339183597,0.03402506872819616
Naive CD4+ T cells,RP11-219B4.7,-2.4522717,1.2696851,0.014272757339181097,0.03402506872819616
Naive CD4+ T cells,RP11-367G6.3,-2.456219,,0.014187462176307696,0.03402506872819616
Naive CD4+ T cells,MCM3,-2.4582586,,0.0141960731311166,0.03402506872819616
Naive CD4+ T cells,DENND1C,-2.4594948,,0.014126481236244506,0.03402506872819616
Naive CD4+ T cells,NOG,-2.4680738,,0.013714001079628967,0.033166228926786896
